title,source,url,timestamp,raw_text,cleaned_text,topics
Opinion The Post endorses Donald Trump for president — the clear choice for a better future,Fox News Politics,https://www.foxnews.com/opinion/post-endorses-donald-trump-president-clear-choice-better-future,2024-10-25 09:54:48.661200,Opinion  The Post endorses Donald Trump for president — the clear choice for a better future,opinion the post endorses donald trump for president the clear choice for a better future,politics
"Polls Trump, Harris dead even in national poll, with just 1 in 4 saying country headed in right direction",Fox News Politics,https://www.foxnews.com/politics/trump-harris-dead-even-national-poll-just-1-4-saying-country-headed-right-direction,2024-10-25 09:54:48.661200,"Polls  Trump, Harris dead even in national poll, with just 1 in 4 saying country headed in right direction",polls trump harris dead even in national poll with just 1 in 4 saying country headed in right direction,politics
Harvard professors argue that America needs a 'militant democracy' to stop Trump,Fox News Politics,https://www.foxnews.com/media/harvard-professors-argue-america-needs-militant-democracy-stop-trump,2024-10-25 09:54:48.661200,Donald Trump  Harvard professors argue that America needs a 'militant democracy' to stop Trump,harvard professors argue that america needs a militant democracy to stop trump,politics
CNN's Jake Tapper admits his Democratic friends are 'terrified' Harris isn't 'closing the deal',Fox News Politics,https://www.foxnews.com/media/cnns-jake-tapper-admits-democratic-friends-terrified-harris-isnt-closing-deal,2024-10-25 09:54:48.661200,Kamala Harris  CNN's Jake Tapper admits his Democratic friends are 'terrified' Harris isn't 'closing the deal',cnn s jake tapper admits his democratic friends are terrified harris isn t closing the deal,politics
Republicans Vulnerable NY Republican blasts Dem challenger's progressive endorsement after moderate showing at debate,Fox News Politics,https://www.foxnews.com/politics/vulnerable-ny-republican-blasts-dem-challengers-progressive-endorsement-after-moderate-showing-debate,2024-10-25 09:54:48.661200,Republicans  Vulnerable NY Republican blasts Dem challenger's progressive endorsement after moderate showing at debate,republicans vulnerable ny republican blasts dem challenger s progressive endorsement after moderate showing at debate,politics
POLITICS 4 mins ago Former Republican Rep. Fred Upton says he's 'proud' he voted for Kamala Harris,Fox News Politics,https://www.foxnews.com/politics/former-republican-rep-fred-upton-says-hes-proud-he-voted-kamala-harris,2024-10-25 09:54:48.661200,POLITICS 4 mins ago Former Republican Rep. Fred Upton says he's 'proud' he voted for Kamala Harris,politics 4 mins ago former republican rep fred upton he s proud he voted for kamala harris,politics
Pentagon 24 mins ago Pentagon denies false claim that Biden-Harris admin authorized troops to use force against Americans,Fox News Politics,https://www.foxnews.com/politics/pentagon-denies-false-claim-biden-harris-admin-authorized-troops-use-force-against-americans,2024-10-25 09:54:48.661200,Pentagon 24 mins ago Pentagon denies false claim that Biden-Harris admin authorized troops to use force against Americans,pentagon 24 mins ago pentagon denies false claim that biden harris admin authorized troops to use force against americans,politics
Border security 24 mins ago Caravan descending on border could preview migrant rush to sneak into US if Trump wins election,Fox News Politics,https://www.foxnews.com/politics/caravan-descending-border-could-preview-migrant-rush-sneak-us-trump-wins-election,2024-10-25 09:54:48.661200,Border security 24 mins ago Caravan descending on border could preview migrant rush to sneak into US if Trump wins election,border security 24 mins ago caravan descending on border could preview migrant rush to sneak into us if trump wins election,politics
"Harris campaign resorts to dark, anti-Trump rhetoric in final days",Fox News Politics,https://www.foxnews.com/video/6363746481112,2024-10-25 09:54:48.661200,"VIDEO 29 mins ago Harris campaign resorts to dark, anti-Trump rhetoric in final days",harris campaign resorts to dark anti trump rhetoric in final days,politics
Opinion 1 hour ago NEWT GINGRICH: House Speaker Mike Johnson deserves reelection,Fox News Politics,https://www.foxnews.com/opinion/newt-gingrich-house-speaker-mike-johnson-deserves-reelection,2024-10-25 09:54:48.661200,Opinion 1 hour ago NEWT GINGRICH: House Speaker Mike Johnson deserves reelection,opinion 1 hour ago newt gingrich house speaker mike johnson deserves reelection,politics
HOUSE OF REPRESENTATIVES 1 hour ago 11 Dems join GOP lawmakers to threaten UN funding over 'ongoing hostility' to Israel,Fox News Politics,https://www.foxnews.com/politics/11-dems-join-gop-lawmakers-threaten-un-funding-over-ongoing-hostility-israel,2024-10-25 09:54:48.661200,HOUSE OF REPRESENTATIVES 1 hour ago 11 Dems join GOP lawmakers to threaten UN funding over 'ongoing hostility' to Israel,house of representatives 1 hour ago 11 dems join gop lawmakers to threaten un funding over ongoing hostility to israel,other
"POLITICS 1 hour ago 'Ill-fated effort': McConnell was 'furious' at Rick Scott's 2022 leader bid, book says",Fox News Politics,https://www.foxnews.com/politics/ill-fated-effort-mcconnell-furious-rick-scotts-2022-leader-bid-book-says,2024-10-25 09:54:48.662206,"POLITICS 1 hour ago 'Ill-fated effort': McConnell was 'furious' at Rick Scott's 2022 leader bid, book says",politics 1 hour ago ill fated effort mcconnell was furious at rick scott s 2022 leader bid book,other
"Opinion 2 hours ago If Trump wins, he will need a Congress with common sense",Fox News Politics,https://www.foxnews.com/opinion/trump-wins-need-congress-common-sense,2024-10-25 09:54:48.662206,"Opinion 2 hours ago If Trump wins, he will need a Congress with common sense",opinion 2 hours ago if trump wins he will need a congress with common sense,politics
